PLAYER,TEAM,ACS,ADR,K/D,K,D,A,RP,KPR,ESR,HS%,FBPR,DPR,1vX,MK,FB,FD,ECON,PL,DE
dapr,Sentinels,172,103.0,0.85,140,164,62,234,0.6,0.49,0.19,0.08,0.7,3,29,18,19,39.8,13,0
gMd,Gen.G Esports,172,113.9,0.91,99,109,50,160,0.62,0.27,0.25,0.03,0.68,1,24,4,11,44.3,16,4
figment,Spot Up,171,124.5,0.82,55,67,31,97,0.57,0.5,0.19,0.05,0.69,3,11,5,5,54.6,12,3
randyySAVAGE,Renegades,171,108.4,0.8,148,184,45,253,0.58,0.38,0.22,0.06,0.73,3,37,16,26,41.8,8,4
Ksiaze,Luminosity Gaming,170,114.0,0.82,103,125,20,172,0.6,0.49,0.22,0.13,0.73,1,20,23,24,44.6,4,5
intox,The Slimy Boogermen,169,113.3,0.91,89,98,56,150,0.59,0.47,0.21,0.06,0.65,1,15,9,10,50.7,20,5
Spyder,T1,168,111.6,0.9,131,145,44,209,0.63,0.47,0.28,0.08,0.69,3,31,16,18,46.4,11,5
zombs,Sentinels,166,116.8,0.86,133,155,66,234,0.57,0.36,0.21,0.06,0.66,4,30,15,27,51.8,16,3
Dcop,Equinox Esports,165,117.7,0.78,68,87,51,115,0.59,0.24,0.18,0.04,0.76,3,21,5,16,38.4,10,3
reltuC,TSM,164,114.3,0.93,79,85,61,149,0.53,0.67,0.2,0.07,0.57,2,19,10,5,51.0,12,1
vice,Cloud9 Blue,160,108.3,1.08,93,86,55,151,0.62,0.5,0.24,0.05,0.57,2,15,7,7,47.4,13,2
CP2,Renegades,158,103.8,0.94,149,159,108,253,0.59,0.48,0.23,0.06,0.63,3,32,14,15,41.5,15,7
stellar,Luminosity Gaming,158,107.0,0.74,90,121,48,172,0.52,0.39,0.19,0.05,0.7,1,19,9,14,49.1,21,4
XP3,Complexity,158,116.9,0.84,75,89,33,129,0.58,0.6,0.17,0.07,0.69,2,17,9,6,44.3,11,1
Bunny,Spot Up,154,90.7,0.74,54,73,33,97,0.56,0.31,0.3,0.05,0.75,0,14,5,11,36.0,6,1
DXN,Equinox Esports,150,109.9,0.71,60,85,49,115,0.52,0.57,0.17,0.03,0.74,2,14,4,3,41.8,30,1
cute fat boy,Equinox Esports,149,99.7,0.65,62,96,21,115,0.54,0.44,0.21,0.1,0.83,0,14,12,15,33.6,2,2
shinobi,Cloud9 Blue,142,90.3,0.66,75,114,31,151,0.5,0.39,0.28,0.05,0.75,1,15,7,11,34.7,25,3
